entity_key,parent_key,parent_name,method,confidence,group_size
AGUA FRIA UNION HIGH SCHOOL NO. 216,AGUA FRIA UNION HIGH SCHOOL NO. 216,AGUA FRIA UNION HIGH SCHOOL NO. 216,parent,singleton,1
AGUILA ELEMENTARY,AGUILA ELEMENTARY,AGUILA ELEMENTARY,parent,singleton,1
AGWEST FARM CREDIT FLCA,AGWEST FARM CREDIT FLCA,AGWEST FARM CREDIT FLCA,parent,singleton,1
AHCCCS PAYMENTS TO DES (00110007),AHCCCS PAYMENTS TO DES (00110007),AHCCCS PAYMENTS TO DES (00110007),parent,singleton,1
AHI COLLINS COURT II LLC,AHI COLLINS COURT II LLC,AHI COLLINS COURT II LLC,parent,singleton,1
AIBT NONPROFIT CHARTER HIGH SCHOOL PHOENIX INC,AIBT NONPROFIT CHARTER HIGH SCHOOL PHOENIX INC,AIBT NONPROFIT CHARTER HIGH SCHOOL PHOENIX INC,parent,singleton,1
AIKEN SCHENK HAWKINS & RICCIARDI,AIKEN SCHENK HAWKINS & RICCIARDI,AIKEN SCHENK HAWKINS & RICCIARDI,parent,singleton,1
AIKEN SCHENK IN TRUST FOR MARY SCHAEFER,AIKEN SCHENK IN TRUST FOR MARY SCHAEFER,AIKEN SCHENK IN TRUST FOR MARY SCHAEFER,parent,singleton,1
AIR BURNERS INCORPORATED,AIR BURNERS INCORPORATED,AIR BURNERS INCORPORATED,parent,singleton,1
AIR CONDOS I OWNERS ASSOCIATION,AIR CONDOS I OWNERS ASSOCIATION,AIR CONDOS I OWNERS ASSOCIATION,parent,singleton,1
AIRGAS WEST INC,AIRGAS WEST INC,AIRGAS WEST INC,parent,singleton,1
AIRWAVE COMMUNICATION ENTERPRISES INC,AIRWAVE COMMUNICATION ENTERPRISES INC,AIRWAVE COMMUNICATION ENTERPRISES INC,parent,singleton,1
AJ LAW PLC,AJ LAW PLC,AJ LAW PLC,parent,singleton,1
AJP ELECTRIC INC,AJP ELECTRIC INC,AJP ELECTRIC INC,parent,singleton,1
"AKDHC,LLC","AKDHC,LLC","AKDHC,LLC",parent,singleton,1
AKIMEL OOTHAM PEE POSH,AKIMEL OOTHAM PEE POSH,AKIMEL OOTHAM PEE POSH,parent,singleton,1
AKSIA LLC,AKSIA LLC,AKSIA LLC,parent,singleton,1
AKSIA TORREYCOVE PARTNERS LLC,AKSIA TORREYCOVE PARTNERS LLC,AKSIA TORREYCOVE PARTNERS LLC,parent,singleton,1
ALAN M SIMPSON PC,ALAN M SIMPSON PC,ALAN M SIMPSON PC,parent,singleton,1
ALBERT A MELVIN,ALBERT A MELVIN,ALBERT A MELVIN,parent,singleton,1
ALBORADA APARTMENTS LP,ALBORADA APARTMENTS LP,ALBORADA APARTMENTS LP,parent,singleton,1
"ALCHEMY3, LLC","ALCHEMY3, LLC","ALCHEMY3, LLC",parent,singleton,1
"ALDRIDGE PITE, LLP","ALDRIDGE PITE, LLP","ALDRIDGE PITE, LLP",parent,singleton,1
ALEXANDER HAMILTON COMMUNITY SCHOOL,ALEXANDER HAMILTON COMMUNITY SCHOOL,ALEXANDER HAMILTON COMMUNITY SCHOOL,parent,singleton,1
ALHAMBRA SCHOOL DISTRICT,ALHAMBRA SCHOOL DISTRICT,ALHAMBRA SCHOOL DISTRICT,parent,singleton,1
ALIGN GROUP HOME LLC,ALIGN GROUP HOME LLC,ALIGN GROUP HOME LLC,parent,singleton,1
ALISHA E LEWIS AND BREYER LAW OFFICES PC,ALISHA E LEWIS AND BREYER LAW OFFICES PC,ALISHA E LEWIS AND BREYER LAW OFFICES PC,parent,singleton,1
ALITA CARE LLC,ALITA CARE LLC,ALITA CARE LLC,parent,singleton,1
ALL ABOARD CHARTER SCHOOL,ALL ABOARD CHARTER SCHOOL,ALL ABOARD CHARTER SCHOOL,parent,singleton,1
ALL STAR MOTORSPORT PRODUCTIONS INC,ALL STAR MOTORSPORT PRODUCTIONS INC,ALL STAR MOTORSPORT PRODUCTIONS INC,parent,singleton,1
ALLEGIANT HLTHCARE MESA,ALLEGIANT HLTHCARE MESA,ALLEGIANT HLTHCARE MESA,parent,singleton,1
ALLEGRO HEALTH LLC,ALLEGRO HEALTH LLC,ALLEGRO HEALTH LLC,parent,singleton,1
ALLEN ASSOCIATES INC,ALLEN ASSOCIATES INC,ALLEN ASSOCIATES INC,parent,singleton,1
ALLEN INSTRUMENTS & SUPPLIES LLC,ALLEN INSTRUMENTS & SUPPLIES LLC,ALLEN INSTRUMENTS & SUPPLIES LLC,parent,singleton,1
ALLEN-COCHRAN ENTERPRISES INC,ALLEN-COCHRAN ENTERPRISES INC,ALLEN-COCHRAN ENTERPRISES INC,parent,singleton,1
ALLIANCE COACHING & COUNS,ALLIANCE COACHING & COUNS,ALLIANCE COACHING & COUNS,parent,singleton,1
ALLIANCE FIRE PROTECTION CO.,ALLIANCE FIRE PROTECTION CO.,ALLIANCE FIRE PROTECTION CO.,parent,singleton,1
"ALLIANCE SOUTHWEST, LLC","ALLIANCE SOUTHWEST, LLC","ALLIANCE SOUTHWEST, LLC",parent,singleton,1
ALLIANT INSURANCE SERVICES,ALLIANT INSURANCE SERVICES,ALLIANT INSURANCE SERVICES,parent,singleton,1
ALLIED BEHAVIORAL HEALTH,ALLIED BEHAVIORAL HEALTH,ALLIED BEHAVIORAL HEALTH,parent,singleton,1
ALLIED INTEGRATED CLINIC,ALLIED INTEGRATED CLINIC,ALLIED INTEGRATED CLINIC,parent,singleton,1
ALLOVUE,ALLOVUE,ALLOVUE,parent,singleton,1
ALLTERRA CENTRAL INC,ALLTERRA CENTRAL INC,ALLTERRA CENTRAL INC,parent,singleton,1
ALPHA ONE HANGER LLC,ALPHA ONE HANGER LLC,ALPHA ONE HANGER LLC,parent,singleton,1
ALPINE DOMESTIC WATER IMPROVEMENT DISTRICT,ALPINE DOMESTIC WATER IMPROVEMENT DISTRICT,ALPINE DOMESTIC WATER IMPROVEMENT DISTRICT,parent,singleton,1
ALR CONSTRUCTION MANAGEMENT,ALR CONSTRUCTION MANAGEMENT,ALR CONSTRUCTION MANAGEMENT,parent,singleton,1
ALRAHMA CARE TRANSPORT,ALRAHMA CARE TRANSPORT,ALRAHMA CARE TRANSPORT,parent,singleton,1
